time,value
1583190790852,0
1583190791788,0
1583190792820,0
1583190793766,0
1583190794897,0
1583190795797,0
1583190796872,0
1583190797772,0
1583190798857,0
1583190799794,0
1583190800835,0
1583190801775,0
1583190802766,0
1583190803846,99
1583190804882,108
1583190805829,117
1583190806775,117
1583190807850,117
1583190808848,117
1583190809832,118
1583190810777,118
1583190811767,120
1583190812890,122
1583190813881,123
1583190814788,124
1583190815772,124
1583190816765,123
1583190817802,0
1583190818875,0
1583190819775,122
1583190820861,122
1583190821803,122
1583190822793,122
1583190823871,122
1583190824773,122
1583190825766,121
1583190826798,120
1583190827832,119
1583190828823,119
1583190829863,119
1583190830799,119
1583190831837,119
1583190832780,120
1583190833817,120
1583190834804,121
1583190835799,121
1583190836785,121
1583190837822,121
1583190838768,120
1583190839893,119
1583190840882,119
1583190841873,119
1583190842774,119
1583190843765,119
1583190844843,120
1583190845832,121
1583190846777,123
1583190847862,124
1583190848800,126
1583190849834,127
1583190850871,128
1583190851775,129
1583190852855,130
1583190853886,130
1583190854832,131
1583190855821,132
1583190856769,133
1583190857800,134
1583190858835,136
1583190859783,137
1583190860773,139
1583190861808,140
1583190862794,141
1583190863786,141
1583190864775,142
1583190865854,144
1583190866896,146
1583190867836,148
1583190868825,149
1583190869776,149
1583190870769,149
1583190871840,149
1583190872888,151
1583190873828,152
1583190874858,153
1583190875805,153
1583190876839,153
1583190877790,152
1583190878773,152
1583190879808,151
1583190880852,152
1583190881787,153
1583190882826,155
1583190883767,156
1583190884847,158
1583190885842,159
1583190886873,160
1583190887774,161
1583190888808,161
1583190889843,162
1583190890787,162
1583190891779,163
1583190892859,163
1583190893805,164
1583190894795,165
1583190895877,165
1583190896774,166
1583190897855,165
1583190898800,165
1583190899787,164
1583190900869,164
1583190901811,0
1583190902802,0
1583190903882,162
1583190904782,162
1583190905862,162
1583190906808,162
1583190907845,162
1583190908819,162
1583190909871,162
1583190910774,162
1583190911848,162
1583190912792,162
1583190913827,163
1583190914861,163
1583190915763,163
1583190916800,163
1583190917788,163
1583190918823,164
1583190919856,165
1583190920802,165
1583190921837,166
1583190922783,166
1583190923823,166
1583190924762,167
1583190925847,167
1583190926883,167
1583190927821,167
1583190928767,168
1583190929848,168
1583190930883,168
1583190931880,167
1583190932777,167
1583190933808,167
1583190934841,168
1583190935785,168
1583190936865,168
1583190937858,169
1583190938801,170
1583190939883,171
1583190940871,172
1583190941771,173
1583190942855,173
1583190943803,174
1583190944787,173
1583190945827,173
1583190946817,172
1583190947807,172
1583190948839,171
1583190949782,170
1583190950778,169
1583190951808,167
1583190952842,166
1583190953830,166
1583190954825,168
1583190955812,170
1583190956849,171
1583190957837,171
1583190958828,170
1583190959860,169
1583190960769,168
1583190961803,168
1583190962786,168
1583190963827,169
1583190964857,168
1583190965800,168
1583190966836,169
1583190967782,169
1583190968776,170
1583190969764,170
1583190970844,170
1583190971874,171
1583190972824,171
1583190973770,170
1583190974801,170
1583190975839,171
1583190976872,171
1583190977771,171
1583190978807,171
1583190979886,172
1583190980831,173
1583190981865,173
1583190982812,173
1583190983802,173
1583190984882,173
1583190985876,174
1583190986816,175
1583190987852,176
1583190988842,176
1583190989786,176
1583190990827,176
1583190991813,176
1583190992853,176
1583190993885,177
1583190994784,178
1583190995774,177
1583190996812,176
1583190997890,175
1583190998837,175
1583190999825,175
1583191000765,175
1583191001850,175
1583191002791,174
1583191003878,175
1583191004777,175
1583191005811,176
1583191006800,176
1583191007834,175
1583191008874,175
1583191009811,175
1583191010805,174
1583191011885,174
1583191012784,174
1583191013772,174
1583191014766,175
1583191015796,174
1583191016880,173
1583191017821,173
1583191018771,174
1583191019854,176
1583191020883,176
1583191021782,175
1583191022857,174
1583191023757,175
1583191024837,176
1583191025786,177
1583191026862,177
1583191027857,177
1583191028789,177
1583191029883,177
1583191030784,177
1583191031773,177
1583191032807,177
1583191033842,176
1583191034785,176
1583191035822,176
1583191036763,176
1583191037802,176
1583191038877,177
1583191039778,177
1583191040766,177
1583191041806,178
1583191042800,178
1583191043888,178
1583191044776,178
1583191045857,178
1583191046892,179
1583191047797,180
1583191048877,180
1583191049862,180
1583191050758,179
1583191051797,179
1583191052878,178
1583191053773,177
1583191054807,176
1583191055890,175
1583191056834,175
1583191057872,176
1583191058768,176
1583191059759,175
1583191060842,174
1583191061786,173
1583191062827,174
1583191063770,174
1583191064848,174
1583191065883,173
1583191066784,173
1583191067862,173
1583191068808,174
1583191069837,174
1583191070788,174
1583191071777,173
1583191072768,173
1583191073803,174
1583191074881,173
1583191075877,173
1583191076775,172
1583191077807,173
1583191078794,174
1583191079791,175
1583191080822,175
1583191081812,174
1583191082847,174
1583191083878,174
1583191084781,174
1583191085861,173
1583191086767,172
1583191087796,172
1583191088788,173
1583191089865,174
1583191090767,174
1583191091849,174
1583191092798,174
1583191093828,174
1583191094776,175
1583191095763,175
1583191096797,175
