time,x,y,z
1574255309610,-0.080439806,-0.09389019,0.036723137
1574255309610,-0.12941301,-0.13004446,0.089058876
1574255309616,-0.24382842,-0.10289335,0.06640053
1574255309617,-0.3194052,0.21238708,0.014722824
1574255309617,-0.30874002,-0.005071163,-0.06253338
1574255309617,-0.26570487,-0.19220376,-0.15844727
1574255309630,-0.32510972,-0.08028579,-0.072200775
1574255309632,-0.24123907,0.14645815,-0.06969166
1574255309806,-0.23293018,0.3367448,-0.042095184
1574255309809,-0.13410926,0.06614065,0.013658524
1574255309828,-0.08295262,-0.00799489,0.0707798
1574255309853,0.01141274,0.17779303,0.0361948
1574255309854,0.13767684,0.15453649,0.048754692
1574255309919,0.18931758,0.21805286,0.060451508
1574255309924,0.32813025,0.09675455,0.0440073
1574255309928,0.45598257,-0.016293287,0.092508316
1574255309937,0.46635687,-0.039009094,0.13538265
1574255309939,0.40796912,-0.13379073,0.15110111
1574255309941,0.10537231,-0.2811904,0.18519211
1574255309943,0.17010772,-0.20888066,-0.036423683
1574255309946,0.088563204,-0.13972592,-0.016504288
1574255309948,0.08543885,0.3354609,0.10803604
1574255309961,0.14434016,0.60932946,0.15898228
1574255309965,0.14810121,0.12824202,0.26470852
1574255309971,0.038989544,0.08623576,0.23159218
1574255310012,-0.11086166,0.03024435,0.10493183
1574255310031,-0.20937252,-0.4224527,0.068416595
1574255310031,-0.23205328,-0.5536885,0.012475014
1574255310058,-0.3450104,0.30690622,-0.035767555
1574255310068,-0.26548433,0.21895981,0.038723946
1574255310089,-0.16398454,0.019508362,0.018266678
1574255310104,-0.20103204,0.38011837,0.11373615
1574255310130,-0.007926106,0.24015284,0.14005852
1574255310151,0.036916256,-0.027118921,0.18700027
1574255310169,0.105746865,-0.17284322,0.087717056
1574255310189,-0.01834631,0.20082831,-0.02776432
1574255310209,-0.054212213,0.44592643,-0.12504387
1574255310229,-0.14311182,0.4088366,-0.348629
1574255310258,-0.46498764,0.5532563,-0.5089712
1574255310266,-0.85023797,0.51965094,-0.69726086
1574255310297,-1.1270721,0.7792342,-0.90911245
1574255310311,-1.2548314,0.91545415,-0.9172883
1574255310332,-1.4235102,1.1322405,-0.9371581
1574255310356,-1.3825506,1.0784509,-0.8273983
1574255310373,-1.070011,0.36604548,-0.6199293
1574255310398,-0.6876446,-0.4310689,-0.041763306
1574255310410,-0.4264354,-0.32164764,0.17042446
1574255310431,-0.41629708,0.0068268776,0.19126272
1574255310451,-0.44062316,-0.040759563,0.3353119
1574255310472,-0.6766515,-0.37051487,0.44854498
1574255310499,0.09944999,-0.124567986,0.33752728
1574255310506,0.60096633,-0.6406007,0.24912167
1574255310532,0.34539813,-0.87483644,0.09706879
1574255310552,0.34218168,-0.8409414,-0.13250685
1574255310572,0.5901066,-0.42084932,-0.49724913
1574255310598,0.6588582,-0.07279301,-0.65557766
1574255310611,0.80582494,0.36906672,-0.5330696
1574255310631,0.9374551,0.38277054,-0.74981165
1574255310652,0.88737905,0.07056427,-1.0661745
1574255310669,0.7084375,-0.7174063,-0.85504866
1574255310699,0.63478225,-1.5519786,0.07520628
1574255310705,0.47431397,-1.4760303,1.073287
1574255310755,0.11944449,-0.5980768,1.2609019
1574255310760,0.4059204,-0.7422991,0.63135386
1574255310825,0.78969586,-1.0696974,0.08622694
1574255310840,0.7758485,-0.6939335,-0.72713995
1574255310860,1.1577051,0.26719093,-0.9587016
1574255310864,1.0833501,-0.9428396,-0.3736825
1574255310864,0.2478931,-2.2101994,1.0797362
1574255310870,0.76488733,-1.5967302,0.6469822
1574255310935,1.6773918,-1.1593533,-0.73719406
1574255310944,1.5291874,-2.3884716,-1.1385983
1574255310963,1.2198098,-2.2934103,-1.544113
1574255310965,0.79635274,-2.2780075,-1.293381
1574255310968,-0.46094322,-2.583994,1.0352907
1574255310991,-1.2432642,-2.556264,2.8159041
1574255311006,-1.3384812,-2.6597872,2.1376383
1574255311032,-1.970963,-2.9251165,3.691938
1574255311045,-2.692232,-5.9841557,3.3274896
1574255311065,-2.8661728,-8.605197,2.3917134
1574255311090,-1.9969983,-5.1400757,0.29671502
1574255311108,-1.9864886,-2.9605541,-0.2562871
1574255311133,-3.2448745,-2.078577,-0.71022034
1574255311146,-3.6176283,0.38246536,-2.2324207
1574255311166,-4.03633,2.3535628,-2.9664507
1574255311189,-4.529446,5.580649,-1.5833542
1574255311207,-4.2527924,7.497504,-0.20725381
1574255311234,-3.0931625,6.575003,-0.49248075
1574255311247,-2.4888208,4.4074187,-0.46535826
1574255311265,-2.3969247,4.6333485,-0.22967422
1574255311287,-1.8559475,3.1236062,0.23529327
1574255311307,-0.12001896,1.6036448,-0.9891297
1574255311335,0.7698722,1.6006193,-0.9462484
1574255311347,1.3978796,2.7955675,0.2722473
1574255311367,1.8917792,3.1060114,0.698822
1574255311387,2.3132713,1.3479438,0.59421563
1574255311407,2.4943173,0.09276104,0.5932076
1574255311438,2.31054,-0.9537697,-0.032926798
1574255311446,2.41563,-2.0711155,-1.6250315
1574255311467,2.683385,-3.038478,-1.4447837
1574255311487,2.0970051,-0.64643,-0.69465375
1574255311506,0.6691358,2.670339,0.80098414
1574255311536,-0.9461014,2.093708,1.4309492
1574255311546,-1.1596513,-0.60581493,1.36626
1574255311567,0.39563727,-2.0742779,-0.4174347
1574255311587,1.755971,0.57705975,-1.3556098
1574255311607,2.0865855,2.5885868,-0.15734625
1574255311634,0.47891235,1.4086137,0.8876641
1574255311647,-0.8551656,0.22034931,0.43093073
1574255311669,-0.24891376,-2.2458467,-0.44813097
1574255311687,0.20126033,-4.002803,0.39429426
1574255311708,-0.10896373,-2.8894653,0.6092082
1574255311732,0.015756607,1.2639856,0.5357125
1574255311747,0.0942812,2.643046,-1.789479
1574255311772,0.1820941,-1.1271448,-0.7327122
1574255311787,-0.07261014,-2.5317192,-0.06452894
1574255311807,-0.2041812,-2.4868069,-1.9522628
1574255311832,0.21342659,1.9871621,0.1965375
1574255311847,-0.21707201,5.719586,1.0014524
1574255311875,-0.32413816,3.3127928,0.9013287
1574255311888,-0.10722947,-0.84720707,0.5206138
1574255311907,0.16290808,-2.6719856,-0.50234956
1574255311931,0.23041415,-0.83303833,-0.8074451
1574255311947,0.12702703,0.3654108,-0.09820378
1574255311974,0.16768599,0.51300716,0.4767593
1574255311988,0.5784373,0.793705,-0.08398032
1574255312008,0.10560036,1.6797538,0.51759493
1574255312030,-0.47551966,1.2478848,0.86242425
1574255312047,-0.11040759,-0.3214531,0.26755682
1574255312075,0.47542453,-1.9167843,-0.98670626
1574255312087,0.3671739,-2.2902489,-0.9451393
1574255312107,0.290756,-2.042883,-0.2821509
1574255312129,0.24714994,0.09246445,0.67634
1574255312146,0.65260315,1.1574373,-0.27103892
1574255312173,0.66091394,-0.59087753,-1.1621416
1574255312187,0.39833093,-0.10028076,-0.3387032
1574255312207,0.27144456,1.8792577,0.23411433
1574255312227,0.090611935,2.1338153,0.37334242
1574255312247,0.22323823,-0.16634083,-0.18851838
1574255312275,0.3634057,-1.0639353,-0.6365622
1574255312287,0.36538386,-0.64995193,-0.5547014
1574255312307,0.23084283,0.7263117,0.07315244
1574255312327,0.16269112,0.35781288,0.36360636
1574255312347,-0.023290634,-0.30283356,0.32300413
1574255312376,0.07426047,-0.47037315,-0.071267664
1574255312387,0.18775082,-0.4117489,-0.37130782
1574255312407,-0.035865307,-0.22262001,0.16823716
1574255312427,-0.2728021,-0.3390646,0.4310757
1574255312447,-0.13675666,-0.57506084,0.24575691
1574255312473,0.065229654,-0.4497118,-0.16448158
1574255312488,0.0554986,-0.1122942,-0.07925606
1574255312509,-0.09931636,0.08718681,0.1869473
1574255312527,0.017705917,0.17493534,0.2002286
1574255312548,0.120563745,-0.2889204,-0.20320846
1574255312570,0.18230224,0.008384705,-0.30351448
1574255312592,0.1620698,0.01142025,-0.058550745
1574255312618,0.10511136,-0.10665417,0.2579318
1574255312627,0.06248355,-0.0034971237,0.092309326
1574255312652,-0.0896039,0.33626175,-0.14659058
1574255312667,-0.06901908,0.31785107,-0.4635314
1574255312691,-0.056827307,-0.3675251,-0.21535376
1574255312716,0.12780261,-0.41955185,0.084619515
1574255312726,0.18381286,-0.07864666,0.40328795
1574255312745,-0.08783746,-0.006772995,0.10759952
1574255312766,-0.09676552,-0.4417963,-0.08266768
1574255312789,0.14723277,-0.68418217,-0.18855835
1574255312815,0.261616,-0.23383427,-0.21101719
1574255312827,0.14671993,0.72410583,0.123870656
1574255312848,0.034198046,1.0506496,0.36588323
1574255312867,0.008620977,0.37487316,0.20718557
1574255312888,0.12917519,-0.112397194,-0.1256545
1574255312917,0.07521653,-0.7630453,-0.52637476
1574255312928,-0.029865503,-0.7873335,-0.088441536
1574255312947,-0.049153805,0.13433456,0.25863513
1574255312970,-0.13118649,0.32972908,0.2811033
1574255312995,0.057284832,0.33136463,-0.10315716
1574255313013,0.0060112476,0.33802986,-0.3946832
1574255313026,-0.102492094,0.043640137,-0.14847824
1574255313046,4.644394E-4,-0.09100342,0.036495164
1574255313065,-0.05643511,-0.15812206,0.2212077
1574255313086,-0.053555965,0.0458889,0.3197998
1574255313113,8.921623E-4,0.83563995,0.50118667
1574255313125,0.040317774,0.8765688,0.32443377
1574255313149,0.23847818,-0.90663624,-0.69111323
1574255313166,0.40614128,-1.1201868,-0.94160676
1574255313186,0.2525699,0.039565086,-0.49454606
1574255313211,-0.22520351,0.13840294,0.090363085
1574255313227,-0.32914805,-0.8019476,-0.11002463
1574255313252,-0.2232182,-0.9581709,-0.12666959
1574255313267,-0.095071316,-0.9254198,-0.27835578
1574255313287,0.010017633,-0.37813854,0.1820693
1574255313310,0.1261251,0.80400085,0.6299895
1574255313327,0.15864038,1.0181961,0.43016708
1574255313354,0.12473202,-0.3667221,-0.47541887
