"time","x","y","z"
"1574266156353","0.13627908","-0.1998424","-0.76699847"
"1574266156354","0.12842953","-0.17543761","-0.7639844"
"1574266156361","0.11579562","-0.16572474","-0.75595504"
"1574266156524","0.10958213","-0.16833763","-0.7522115"
"1574266156549","0.10985728","-0.17177017","-0.75338715"
"1574266156595","0.11136476","-0.1750588","-0.7547972"
"1574266156597","0.11416872","-0.17906778","-0.75553674"
"1574266156598","0.11801715","-0.18192007","-0.75644916"
"1574266156636","0.12062566","-0.18405578","-0.7574571"
"1574266156637","0.12084981","-0.18562604","-0.7578671"
"1574266156640","0.12012176","-0.18630227","-0.7577029"
"1574266156652","0.11960377","-0.18624583","-0.7575523"
"1574266156655","0.11956089","-0.18618685","-0.7575305"
"1574266156657","0.12000732","-0.18666855","-0.75737405"
"1574266156660","0.120511144","-0.18740018","-0.7573152"
"1574266156662","0.120673545","-0.18796256","-0.7574024"
"1574266156665","0.12092871","-0.18851382","-0.75741893"
"1574266156670","0.12121928","-0.18904498","-0.7574795"
"1574266156671","0.12130349","-0.18922073","-0.7575262"
"1574266156709","0.12097638","-0.18912825","-0.7577334"
"1574266156720","0.120803565","-0.18900006","-0.7577771"
"1574266156731","0.12091097","-0.1890879","-0.75782657"
"1574266156748","0.12096763","-0.18923695","-0.75786024"
"1574266156768","0.12094522","-0.18936685","-0.75786084"
"1574266156792","0.121160425","-0.19009237","-0.7579997"
"1574266156809","0.12198148","-0.19095589","-0.7576739"
"1574266156834","0.12224984","-0.19129752","-0.7576568"
"1574266156849","0.12185607","-0.19102646","-0.7579503"
"1574266156869","0.12239977","-0.19172782","-0.7578002"
"1574266156889","0.12460847","-0.19393827","-0.75702363"
"1574266156915","0.12683482","-0.19616607","-0.7564016"
"1574266156939","0.12684278","-0.19637296","-0.75672996"
"1574266156951","0.12549874","-0.19534397","-0.75747603"
"1574266156970","0.124841765","-0.19484635","-0.75770473"
"1574266156990","0.12523377","-0.19523515","-0.7575981"
"1574266157010","0.12568507","-0.19564347","-0.75755817"
"1574266157032","0.12551233","-0.19575706","-0.7576309"
"1574266157051","0.12559804","-0.19624865","-0.7574583"
"1574266157077","0.12732922","-0.19849032","-0.7565929"
"1574266157095","0.13003165","-0.20171273","-0.7555092"
"1574266157117","0.13133964","-0.2036661","-0.7551795"
"1574266157130","0.13120937","-0.20420304","-0.7554681"
"1574266157156","0.1321334","-0.2057289","-0.7551375"
"1574266157181","0.13495089","-0.2088941","-0.7541049"
"1574266157190","0.1373778","-0.21182635","-0.7533917"
"1574266157215","0.1383018","-0.21341617","-0.7532963"
"1574266157236","0.13931541","-0.21503548","-0.75300264"
"1574266157256","0.14115685","-0.21707548","-0.7524954"
"1574266157275","0.14262111","-0.21887244","-0.75284094"
"1574266157296","0.1430491","-0.21926782","-0.7533996"
"1574266157315","0.1440828","-0.21988656","-0.7531018"
"1574266157332","0.14535362","-0.22055824","-0.75256824"
"1574266157354","0.14544387","-0.22047165","-0.7524549"
"1574266157376","0.14490569","-0.22034185","-0.7524589"
"1574266157398","0.14611152","-0.22204585","-0.7517516"
"1574266157422","0.14861153","-0.22503659","-0.7505614"
"1574266157442","0.14964518","-0.22643591","-0.74997884"
"1574266157459","0.14915435","-0.22555535","-0.7498753"
"1574266157478","0.15010731","-0.226243","-0.7495668"
"1574266157498","0.15256076","-0.22895293","-0.7486932"
"1574266157518","0.15385595","-0.23044257","-0.748707"
"1574266157542","0.1540182","-0.23016782","-0.7492984"
"1574266157560","0.15469354","-0.2304626","-0.7493851"
"1574266157578","0.15673645","-0.23265392","-0.7493864"
"1574266157598","0.16044824","-0.23594731","-0.7492291"
"1574266157614","0.16280098","-0.23657553","-0.7495377"
"1574266157641","0.16396865","-0.23673727","-0.75011075"
"1574266157662","0.16576052","-0.23909093","-0.7498114"
"1574266157675","0.16854407","-0.24397601","-0.74911755"
"1574266157697","0.1699403","-0.24642518","-0.7500459"
"1574266157713","0.17125227","-0.24738213","-0.7512888"
"1574266157732","0.17427707","-0.25095823","-0.7511089"
"1574266157762","0.17686602","-0.25403088","-0.7517372"
"1574266157773","0.17557383","-0.25061896","-0.75565195"
"1574266157792","0.16987869","-0.24294518","-0.76113355"
"1574266157812","0.16194054","-0.23680219","-0.7655876"
"1574266157834","0.14883064","-0.22314481","-0.7724225"
"1574266157858","0.13303955","-0.20444712","-0.78074795"
"1574266157872","0.11580925","-0.18446133","-0.78697836"
"1574266157900","0.10442247","-0.16993852","-0.7906909"
"1574266157913","0.09183264","-0.15143614","-0.79577684"
"1574266157933","0.075051524","-0.12839702","-0.80060196"
"1574266157954","0.06273688","-0.10970437","-0.80334866"
"1574266157972","0.05241226","-0.09313788","-0.80500674"
"1574266158000","0.04231698","-0.0793596","-0.8068493"
"1574266158013","0.035020296","-0.0685967","-0.80778664"
"1574266158033","0.0333145","-0.064914115","-0.80729914"
"1574266158053","0.030523375","-0.06353342","-0.80662876"
"1574266158073","0.025139133","-0.06030056","-0.8066337"
