time,value
1577030657298,5973022.0
1577030657347,6009574.0
1577030657395,6035862.0
1577030657445,6012089.0
1577030657493,5985774.0
1577030657540,5963299.0
1577030657587,5943953.0
1577030657635,5910851.0
1577030657689,5880987.0
1577030657731,5842662.0
1577030657785,5831193.0
1577030657832,5808931.0
1577030657885,5798761.0
1577030657929,5789053.0
1577030657979,5768242.0
1577030658026,5796567.0
1577030658077,5791289.0
1577030658127,5806330.0
1577030658179,5811764.0
1577030658223,5800673.0
1577030658270,5775505.0
1577030658325,5720304.0
1577030658374,5704970.0
1577030658418,5693138.0
1577030658470,5684394.0
1577030658519,5669421.0
1577030658563,5651975.0
1577030658618,5638553.0
1577030658668,5631121.0
1577030658715,5625268.0
1577030658760,5619235.0
1577030658813,5615031.0
1577030658863,5613256.0
1577030658906,5605534.0
1577030658958,5610059.0
1577030659008,5620060.0
1577030659053,5632100.0
1577030659111,5613005.0
1577030659148,5590000.0
1577030659200,5582599.0
1577030659260,5580614.0
1577030659297,5579582.0
1577030659347,5577459.0
1577030659399,5579708.0
1577030659451,5580378.0
1577030659498,5589526.0
1577030659551,5605993.0
1577030659592,5614893.0
1577030659643,5628566.0
1577030659689,5642757.0
1577030659738,5653903.0
1577030659785,5658764.0
1577030659841,5668570.0
1577030659885,5677663.0
1577030659933,5687356.0
1577030659987,5672563.0
1577030660030,5648624.0
1577030660084,5640367.0
1577030660128,5636891.0
1577030660178,5638384.0
1577030660225,5632742.0
1577030660275,5630898.0
1577030660325,5628328.0
1577030660371,5638400.0
1577030660427,5638259.0
1577030660468,5648527.0
1577030660525,5652422.0
1577030660567,5656335.0
1577030660625,5663372.0
1577030660666,5673178.0
1577030660718,5679352.0
1577030660770,5685064.0
1577030660811,5675931.0
1577030660862,5647129.0
1577030660909,5632574.0
1577030660959,5624879.0
1577030661008,5627743.0
1577030661057,5626262.0
1577030661107,5622686.0
1577030661155,5624683.0
1577030661205,5623132.0
1577030661252,5625871.0
1577030661306,5634753.0
1577030661351,5634627.0
1577030661403,5642869.0
1577030661449,5647129.0
1577030661501,5651473.0
1577030661548,5658024.0
1577030661602,5663430.0
1577030661647,5649154.0
1577030661696,5623732.0
1577030661750,5616245.0
1577030661791,5615897.0
1577030661841,5616401.0
1577030661886,5614333.0
1577030661936,5611861.0
1577030661992,5609625.0
1577030662034,5610940.0
1577030662093,5618467.0
1577030662137,5622337.0
1577030662184,5626164.0
1577030662228,5632672.0
1577030662283,5639725.0
1577030662330,5645914.0
1577030662378,5658373.0
1577030662432,5658134.0
1577030662478,5645440.0
1577030662528,5627238.0
1577030662576,5622952.0
1577030662626,5630047.0
1577030662674,5638216.0
1577030662723,5630634.0
1577030662773,5633621.0
1577030662820,5636989.0
1577030662872,5644544.0
1577030662918,5648539.0
1577030662967,5655285.0
1577030663015,5661766.0
1577030663059,5671348.0
1577030663110,5675301.0
1577030663156,5682243.0
1577030663206,5690553.0
1577030663254,5674659.0
1577030663304,5654211.0
1577030663353,5647184.0
1577030663403,5648163.0
1577030663456,5652339.0
1577030663506,5646541.0
1577030663549,5646850.0
1577030663605,5648233.0
1577030663653,5649741.0
1577030663700,5655105.0
1577030663754,5660523.0
1577030663798,5668163.0
1577030663852,5670538.0
1577030663893,5674337.0
1577030663944,5676574.0
1577030663992,5678192.0
1577030664044,5654490.0
1577030664097,5638510.0
1577030664141,5633972.0
1577030664188,5631638.0
1577030664231,5637310.0
1577030664287,5622000.0
1577030664328,5615046.0
1577030664380,5602768.0
1577030664433,5598619.0
1577030664477,5588550.0
1577030664534,5575140.0
1577030664575,5567892.0
1577030664630,5562290.0
1577030664673,5562122.0
1577030664727,5558896.0
1577030664768,5538795.0
1577030664825,5508597.0
1577030664872,5491461.0
1577030664918,5485957.0
1577030664967,5482814.0
1577030665015,5481502.0
1577030665065,5475606.0
1577030665115,5478442.0
1577030665162,5503864.0
1577030665211,5537553.0
1577030665260,5553337.0
1577030665310,5563238.0
1577030665363,5566968.0
1577030665404,5565264.0
1577030665454,5563896.0
1577030665508,5547540.0
1577030665553,5519535.0
1577030665606,5504938.0
1577030665656,5496124.0
1577030665699,5480244.0
1577030665758,5460981.0
1577030665801,5448076.0
1577030665851,5406426.0
1577030665898,5416161.0
1577030665947,5456303.0
1577030665990,5424890.0
1577030666052,5329129.0
1577030666096,5331056.0
1577030666191,5342524.0
1577030666193,5429220.0
1577030666292,5439445.0
1577030666293,5466081.0
1577030666331,5516112.0
1577030666380,5585530.0
1577030666431,5673906.0
1577030666482,5754734.0
1577030666530,5791106.0
1577030666578,5914134.0
1577030666624,5935322.0
1577030666672,5847494.0
1577030666724,5687622.0
1577030666772,5690177.0
1577030666823,5667940.0
1577030666870,5627085.0
1577030666921,5545025.0
1577030666969,5490537.0
1577030667018,5436707.0
1577030667066,5394078.0
1577030667119,5346994.0
1577030667166,5306458.0
1577030667214,5276192.0
1577030667263,5250519.0
1577030667313,5229442.0
1577030667361,5207009.0
1577030667409,5185277.0
1577030667458,5165414.0
1577030667507,5136670.0
1577030667555,5094668.0
1577030667603,5056983.0
1577030667654,5038280.0
1577030667703,5017594.0
1577030667753,4998041.0
1577030667800,4972576.0
1577030667847,4950954.0
1577030667897,4938915.0
1577030667945,4926471.0
1577030667995,4915325.0
1577030668045,4903730.0
1577030668101,4895337.0
1577030668148,4860137.0
1577030668192,4825010.0
1577030668243,4797452.0
1577030668290,4786025.0
1577030668341,4769405.0
1577030668389,4753593.0
1577030668440,4735058.0
1577030668487,4716943.0
1577030668538,4705699.0
1577030668586,4696550.0
1577030668635,4690389.0
1577030668683,4680586.0
1577030668731,4655626.0
1577030668779,4618079.0
1577030668829,4590059.0
1577030668874,4568508.0
1577030668922,4556132.0
1577030668973,4542305.0
1577030669022,4525000.0
1577030669070,4510905.0
1577030669119,4498627.0
1577030669173,4267856.0
1577030669221,4189352.0
1577030669270,4184787.0
1577030669312,4169317.0
1577030669368,4142646.0
1577030669419,4112026.0
1577030669467,4095624.0
1577030669513,4085028.0
1577030669563,4076995.0
1577030669612,4064367.0
1577030669663,4059666.0
1577030669706,4054446.0
1577030669757,4052770.0
1577030669807,4048995.0
1577030669854,4048321.0
1577030669906,4051017.0
1577030669948,4036260.0
1577030670005,4008598.0
1577030670050,3989768.0
1577030670094,3977707.0
1577030670154,3975521.0
1577030670198,3969107.0
1577030670245,3963674.0
1577030670294,3961498.0
1577030670340,3963020.0
1577030670392,4000371.0
1577030670442,4016390.0
1577030670491,4014811.0
1577030670538,4015254.0
1577030670601,4010004.0
