time,x,y,z
1579101373060,0.037369367,0.16763754,-0.7429926
1579101373060,0.036355946,0.17175895,-0.747111
1579101373060,0.03456914,0.1723073,-0.7484579
1579101373060,0.03297745,0.1720043,-0.7475034
1579101373060,0.031702884,0.17332105,-0.74716717
1579101373062,0.030901691,0.17463632,-0.7472516
1579101373062,0.029165009,0.17567468,-0.7494043
1579101373069,0.028098889,0.1749218,-0.7466715
1579101373086,0.026558932,0.17343342,-0.73909664
1579101373093,0.02302407,0.1727265,-0.7330783
1579101373232,0.017370066,0.17133252,-0.72787195
1579101373239,0.008599244,0.16967784,-0.717942
1579101373282,-0.009559695,0.16664758,-0.7038812
1579101373314,-0.035372302,0.16495658,-0.6844804
1579101373316,-0.06680856,0.1665919,-0.66177124
1579101373318,-0.1036174,0.16937186,-0.63981247
1579101373328,-0.14243414,0.17386901,-0.6271023
1579101373328,-0.17966695,0.17933024,-0.6192136
1579101373329,-0.20873566,0.18012896,-0.60811204
1579101373330,-0.23769444,0.17834319,-0.5987529
1579101373332,-0.25931114,0.16993558,-0.58953863
1579101373348,-0.27635968,0.16139524,-0.5784792
1579101373390,-0.29460812,0.15311138,-0.5678114
1579101373392,-0.31294167,0.14582986,-0.5565132
1579101373402,-0.33248442,0.1413342,-0.5452156
1579101373421,-0.35650268,0.13829651,-0.5341612
1579101373433,-0.38541287,0.13819554,-0.52128524
1579101373454,-0.4183584,0.14405145,-0.5097722
1579101373469,-0.44782424,0.14983991,-0.50111806
1579101373493,-0.46925098,0.1523207,-0.49505213
1579101373519,-0.48309925,0.15009627,-0.4917037
1579101373535,-0.49294192,0.14220399,-0.48585993
1579101373560,-0.5056624,0.13266242,-0.47683927
1579101373593,-0.52419186,0.12452419,-0.4653152
1579101373616,-0.5473152,0.120095134,-0.45465067
1579101373616,-0.5732959,0.11884482,-0.4455529
1579101373676,-0.59538573,0.11598183,-0.43652776
1579101373702,-0.611046,0.10850082,-0.4272922
1579101373705,-0.6186973,0.09977942,-0.41835868
1579101373713,-0.620271,0.093273714,-0.41162965
1579101373721,-0.6205484,0.090305164,-0.4073004
1579101373777,-0.62170887,0.0881841,-0.40239176
1579101373800,-0.6284729,0.086730935,-0.39592078
1579101373801,-0.63865024,0.08761146,-0.38894475
1579101373812,-0.64661586,0.09019306,-0.3839932
1579101373814,-0.64640504,0.08816082,-0.38071898
1579101373827,-0.638297,0.07956638,-0.3773883
1579101373855,-0.6191775,0.062379215,-0.37745845
1579101373868,-0.5882281,0.045510955,-0.38443086
1579101373888,-0.5479011,0.028634038,-0.39108765
1579101373914,-0.5190042,0.017290652,-0.40137222
1579101373928,-0.5087892,0.010768475,-0.41438738
1579101373952,-0.51392734,0.013649411,-0.42816716
1579101373969,-0.52772963,0.03134342,-0.4485306
1579101373991,-0.5451897,0.06046711,-0.47110236
1579101374008,-0.56095296,0.08827517,-0.4900421
1579101374027,-0.5750351,0.10830243,-0.50084376
1579101374049,-0.59017926,0.12479035,-0.5052484
1579101374067,-0.60614425,0.1466347,-0.5074824
1579101374092,-0.61926323,0.17275046,-0.5091034
1579101374109,-0.6266546,0.19209261,-0.509112
1579101374127,-0.6343105,0.20271096,-0.5029252
1579101374148,-0.6438253,0.2041308,-0.49124494
1579101374169,-0.6475087,0.19698836,-0.48060018
1579101374196,-0.64567035,0.18389972,-0.47190142
1579101374208,-0.63973117,0.16756523,-0.46465343
1579101374228,-0.63757247,0.15673693,-0.45753253
1579101374250,-0.64262563,0.15404819,-0.44998333
1579101374269,-0.65347743,0.15821569,-0.44214138
1579101374293,-0.6638012,0.16197957,-0.43397132
1579101374310,-0.6725405,0.16072857,-0.42334357
1579101374332,-0.6833344,0.15804121,-0.4117225
1579101374349,-0.69990295,0.15848528,-0.39953262
1579101374369,-0.72070754,0.16497213,-0.38722244
1579101374391,-0.73688465,0.16878402,-0.3726252
1579101374409,-0.7429553,0.16711375,-0.35967726
1579101374433,-0.74168515,0.1607242,-0.34916767
1579101374449,-0.74089795,0.15474339,-0.33975238
1579101374470,-0.7461971,0.1531817,-0.3329851
1579101374489,-0.7514963,0.1528789,-0.32879287
1579101374509,-0.74996996,0.14950097,-0.32733598
1579101374537,-0.74721366,0.14344122,-0.3269157
1579101374550,-0.7546065,0.14195055,-0.3244152
1579101374569,-0.7729837,0.1490999,-0.31771764
1579101374590,-0.7849819,0.1533112,-0.3103746
1579101374609,-0.781318,0.14714327,-0.3097475
1579101374633,-0.76776916,0.1373771,-0.3151729
