time,value,value2,value3
1583024793841,4791250.0,5374279.0,0.0
1583024793891,4837369.0,5400293.0,0.0
1583024793938,4876721.0,5433910.0,0.0
1583024793987,4909258.0,5454860.0,0.0
1583024794036,4913785.0,5456314.0,0.0
1583024794085,4920724.0,5464356.0,0.0
1583024794134,4937868.0,5478958.0,0.0
1583024794182,4965799.0,5495178.0,0.0
1583024794232,5008113.0,5525991.0,0.0
1583024794278,5053117.0,5551034.0,0.0
1583024794329,5081451.0,5564220.0,0.0
1583024794380,5099707.0,5568363.0,0.0
1583024794426,5125904.0,5578784.0,0.0
1583024794474,5170048.0,5654414.0,0.0
1583024794523,5229619.0,5750446.0,0.0
1583024794572,5323650.0,5853970.0,0.0
1583024794621,5358992.0,5841749.0,0.0
1583024794671,5350340.0,5755668.0,0.0
1583024794719,5350707.0,5710518.0,0.0
1583024794764,5361003.0,5704807.0,0.0
1583024794815,5364632.0,5728644.0,0.0
1583024794864,5388151.0,5741657.0,0.0
1583024794913,5375905.0,5741952.0,0.0
1583024794963,5369723.0,5758291.0,0.0
1583024795010,5375122.0,5777546.0,0.0
1583024795064,5409891.0,5816183.0,0.0
1583024795112,5349031.0,5946723.0,0.0
1583024795160,5421793.0,6198974.0,0.0
1583024795212,5531553.0,6357816.0,0.0
1583024795257,5601017.0,6484343.0,0.0
1583024795300,5691854.0,6546442.0,0.0
1583024795358,5730595.0,6497188.0,0.0
1583024795401,5687165.0,6428259.0,0.0
1583024795454,5617827.0,6346520.0,0.0
1583024795501,5561527.0,6219971.0,0.0
1583024795546,5518971.0,6116545.0,0.0
1583024795598,5479401.0,6037451.0,0.0
1583024795641,5439062.0,5963459.0,0.0
1583024795698,5406201.0,5903305.0,0.0
1583024795743,5369550.0,5851201.0,0.0
1583024795796,5342400.0,5810348.0,0.0
1583024795837,5322799.0,5774900.0,0.0
1583024795886,5308864.0,5738345.0,0.0
1583024795933,5285274.0,5694325.0,0.0
1583024795981,5257792.0,5655316.0,0.0
1583024796029,5233538.0,5624935.0,0.0
1583024796081,5210180.0,5607080.0,0.0
1583024796127,5190428.0,5586966.0,0.0
1583024796175,5169748.0,5566805.0,0.0
1583024796226,5149091.0,5546621.0,0.0
1583024796275,5129088.0,5530723.0,0.0
1583024796323,5089024.0,5492506.0,0.0
1583024796373,5041434.0,5431188.0,0.0
1583024796423,4996797.0,5386355.0,0.0
1583024796475,4957733.0,5349063.0,0.0
1583024796523,4911211.0,5304785.0,0.0
1583024796572,4869033.0,5272888.0,0.0
1583024796619,4827270.0,5244495.0,0.0
1583024796672,4786401.0,5220841.0,0.0
1583024796713,4752208.0,5192551.0,0.0
1583024796767,4713626.0,5163040.0,0.0
1583024796815,4680642.0,5138627.0,0.0
1583024796868,4649769.0,5121700.0,0.0
1583024796914,4617207.0,5101799.0,0.0
1583024796962,4588806.0,5087530.0,0.0
1583024797004,4558461.0,5072073.0,0.0
1583024797058,4539561.0,5057408.0,0.0
1583024797101,4518156.0,5046044.0,0.0
1583024797158,4486973.0,5023713.0,0.0
1583024797203,4433457.0,4975760.0,0.0
1583024797256,4388463.0,4936456.0,0.0
1583024797301,4350191.0,4906831.0,0.0
1583024797349,4314493.0,4876936.0,0.0
1583024797399,4282702.0,4855417.0,0.0
1583024797442,4253221.0,4835856.0,0.0
1583024797497,4219695.0,4817911.0,0.0
1583024797547,4196199.0,4798543.0,0.0
1583024797704,4167428.0,4787699.0,0.0
1583024797704,4146322.0,4779129.0,0.0
1583024797704,4126641.0,4770659.0,0.0
1583024797740,4111646.0,4764712.0,0.0
1583024797858,4099445.0,4758844.0,0.0
1583024797858,4085153.0,4761106.0,0.0
1583024797885,4070641.0,4756549.0,0.0
1583024797930,4051604.0,4746530.0,0.0
1583024797976,4014618.0,4707644.0,0.0
1583024798028,3984332.0,4681402.0,0.0
1583024798077,3962398.0,4669123.0,0.0
1583024798125,3940958.0,4653338.0,0.0
1583024798175,3927023.0,4644077.0,0.0
1583024798226,3908100.0,4638435.0,0.0
1583024798275,3886971.0,4631176.0,0.0
1583024798323,3873769.0,4621769.0,0.0
1583024798368,3862131.0,4619404.0,0.0
1583024798420,3855857.0,4621824.0,0.0
1583024798468,3846988.0,4616984.0,0.0
1583024798514,3859396.0,4628246.0,0.0
1583024798569,3860533.0,4642178.0,0.0
1583024798617,3854156.0,4649967.0,0.0
1583024798666,3853433.0,4657633.0,0.0
1583024798715,3848687.0,4660699.0,0.0
1583024798768,3849377.0,4669630.0,0.0
1583024798811,3837105.0,4674312.0,0.0
1583024798856,3827018.0,4671802.0,0.0
1583024798936,3838519.0,4675634.0,0.0
1583024798992,3839300.0,4667924.0,0.0
1583024799095,3827823.0,4649199.0,0.0
1583024799095,3812300.0,4627183.0,0.0
1583024799105,3795951.0,4611002.0,0.0
1583024799182,3792332.0,4610720.0,0.0
1583024799199,3788494.0,4618138.0,0.0
1583024799245,3793480.0,4632848.0,0.0
1583024799294,3790067.0,4635914.0,0.0
1583024799345,3787724.0,4630237.0,0.0
1583024799395,3783933.0,4627319.0,0.0
1583024799444,3784070.0,4621484.0,0.0
1583024799493,3782187.0,4617878.0,0.0
1583024799536,3780106.0,4631163.0,0.0
1583024799584,3784414.0,4641861.0,0.0
1583024799638,3777418.0,4637767.0,0.0
1583024799688,3763264.0,4620456.0,0.0
1583024799732,3735217.0,4590876.0,0.0
1583024799779,3717477.0,4570479.0,0.0
1583024799834,3704805.0,4562100.0,0.0
1583024799883,3690087.0,4562202.0,0.0
1583024799924,3607704.0,4564837.0,0.0
1583024799974,3602588.0,4568218.0,0.0
1583024800029,3596487.0,4566714.0,0.0
1583024800076,3593313.0,4566170.0,0.0
1583024800124,3589369.0,4569732.0,0.0
1583024800173,3588130.0,4571383.0,0.0
1583024800225,3589465.0,4575557.0,0.0
1583024800266,3592647.0,4579718.0,0.0
1583024800320,3590436.0,4583255.0,0.0
1583024800371,3591960.0,4585744.0,0.0
1583024800417,3592931.0,4588852.0,0.0
1583024800467,3593305.0,4595683.0,0.0
1583024800515,3593746.0,4593127.0,0.0
1583024800569,3595585.0,4598294.0,0.0
1583024800606,3595133.0,4602784.0,0.0
1583024800662,3577197.0,4587361.0,0.0
1583024800710,3555882.0,4565357.0,0.0
1583024800763,3544257.0,4545117.0,0.0
1583024800805,3534122.0,4538479.0,0.0
1583024800855,3523417.0,4534804.0,0.0
1583024800904,3511489.0,4525025.0,0.0
1583024800951,3501242.0,4517788.0,0.0
1583024801001,3492366.0,4514259.0,0.0
1583024801048,3488993.0,4512688.0,0.0
1583024801093,3485716.0,4510516.0,0.0
1583024801147,3484381.0,4507680.0,0.0
1583024801196,3487475.0,4521372.0,0.0
1583024801244,3482951.0,4528451.0,0.0
1583024801294,3466705.0,4523237.0,0.0
1583024801341,3459277.0,4521258.0,0.0
1583024801387,3459736.0,4522400.0,0.0
1583024801438,3462111.0,4524141.0,0.0
1583024801486,3468804.0,4527150.0,0.0
1583024801537,3460187.0,4524097.0,0.0
1583024801585,3444695.0,4512394.0,0.0
1583024801633,3437240.0,4515866.0,0.0
1583024801683,3355286.0,4515492.0,0.0
1583024801730,3238674.0,4514293.0,0.0
1583024801775,3182673.0,4510358.0,0.0
1583024801829,3155279.0,4499130.0,0.0
1583024801877,3154448.0,4499086.0,0.0
1583024801922,3128744.0,4498011.0,0.0
1583024801972,3129593.0,4500839.0,0.0
1583024802023,3129291.0,4502635.0,0.0
1583024802069,3094824.0,4502784.0,0.0
1583024802120,3093489.0,4503304.0,0.0
1583024802165,3096825.0,4507871.0,0.0
1583024802212,3092518.0,4504287.0,0.0
1583024802262,3091634.0,4505904.0,0.0
1583024802312,3087091.0,4511737.0,0.0
1583024802360,3045083.0,4507261.0,0.0
1583024802409,3007494.0,4496881.0,0.0
1583024802462,2974622.0,4487180.0,0.0
1583024802510,2920720.0,4457758.0,0.0
1583024802561,2870649.0,4420614.0,0.0
1583024802606,2843014.0,4403496.0,0.0
1583024802660,2830868.0,4400014.0,0.0
1583024802704,2828015.0,4396113.0,0.0
