time,value,accuracy
1586704933152,114.38436,2
1586704934122,114.38436,3
1586704935086,114.38436,3
1586704936056,114.06283,3
1586704937015,114.0154,3
1586704937988,114.0154,3
1586704938954,112.95568,3
1586704939916,112.79779,3
1586704940892,111.73989,2
1586704941857,111.135,2
1586704942827,109.95556,2
1586704943781,109.95556,2
1586704944759,110.26985,2
1586704945724,110.22668,2
1586704946691,109.183235,2
1586704947662,107.91977,2
1586704948627,106.70404,2
1586704949592,106.70404,2
1586704950564,106.51508,2
1586704951529,106.47591,2
1586704952503,105.46964,2
1586704953469,101.60647,2
1586704954438,101.65557,1
1586704955396,101.65557,1
1586704956365,101.847565,1
1586704957335,103.30407,1
1586704958301,106.447975,1
1586704959266,108.470764,1
1586704960241,109.79681,1
1586704961202,109.79681,1
1586704962177,110.0027,1
1586704963143,112.21307,1
1586704964108,112.601135,1
1586704965082,115.13063,1
1586704966051,115.25737,1
1586704967006,115.25737,1
1586704967978,115.12703,0
1586704968950,114.986374,1
1586704969912,114.88098,1
1586704970887,116.0585,1
1586704971854,117.48028,1
1586704972821,117.48028,1
1586704973789,118.1623,1
1586704974744,118.078865,1
1586704975720,117.157585,1
1586704976688,117.26517,1
1586704977651,118.33407,1
1586704978617,118.33407,1
1586704979591,118.87037,1
1586704980556,119.29988,1
1586704981521,120.024734,0
1586704982486,120.891716,1
1586704983451,120.98813,1
1586704984421,120.98813,1
1586704985391,120.97609,1
1586704986358,120.97087,1
1586704987319,122.671814,1
1586704988285,123.99985,1
1586704989262,125.2545,1
1586704990221,125.2545,1
1586704991185,125.55274,1
1586704992158,126.19118,1
1586704993123,126.18422,1
1586704994095,127.091286,1
1586704995065,127.04537,0
1586704996021,127.04537,0
1586704996999,126.92331,1
1586704997964,126.79098,1
1586704998930,126.67492,1
1586704999901,129.07161,1
1586705000857,129.25485,1
1586705001826,129.25485,1
1586705002801,129.14175,1
1586705003767,129.01202,1
1586705004735,128.89755,1
1586705005697,129.08913,1
1586705006662,128.98993,1
1586705007629,128.98993,1
1586705008598,128.93044,1
1586705009564,128.9304,0
1586705010532,128.92062,1
1586705011501,129.06448,1
1586705012468,130.88486,1
1586705013430,130.88486,1
1586705014405,129.81258,1
1586705015369,129.93517,1
1586705016337,131.27199,1
1586705017311,131.40787,1
1586705018276,132.69153,1
1586705019242,132.69153,1
1586705020212,132.67307,1
1586705021177,132.57726,1
1586705022146,132.59294,1
1586705023111,132.72145,0
1586705024077,133.80731,1
1586705025045,133.80731,1
1586705026012,133.90381,1
1586705026972,133.9418,1
1586705027951,135.18666,1
1586705028916,135.2327,1
1586705029875,135.14532,1
1586705030844,135.14532,1
1586705031817,134.9893,1
1586705032784,136.15176,1
1586705033751,134.73615,1
1586705034721,134.68866,1
1586705035686,134.76036,1
1586705036658,134.76036,1
1586705037618,135.40926,0
1586705038583,136.02394,1
1586705039556,138.49557,1
1586705040522,139.52824,1
1586705041496,141.12349,1
1586705042459,141.12349,1
1586705043434,141.40887,1
1586705044401,141.66309,1
1586705045365,141.54243,1
1586705046339,141.3978,1
1586705047304,141.25188,1
1586705048275,141.25188,1
1586705049242,141.14064,1
1586705050211,141.04771,1
1586705051173,140.99107,0
1586705052142,141.52075,1
1586705053113,141.69452,1
1586705054085,141.69452,1
1586705055052,143.12012,1
1586705056024,143.19525,1
1586705056990,143.2773,1
1586705057957,143.36613,1
1586705058927,142.16055,1
1586705059892,142.16055,1
1586705060853,142.30444,1
1586705061827,142.2901,1
1586705062791,142.26085,1
1586705063755,142.16187,1
1586705064733,142.12692,0
1586705065705,142.12692,0
1586705066669,142.108,2
1586705067642,142.09845,3
1586705068612,156.72693,3
1586705069580,158.31592,1
1586705070549,158.51454,1
1586705071515,158.51454,1
1586705072479,156.8502,1
1586705073454,156.51892,1
1586705074425,156.2036,1
1586705075392,156.75891,1
1586705076361,156.66512,1
1586705077329,156.66512,1
1586705078299,157.36609,1
1586705079266,157.00493,2
1586705080231,158.27562,2
1586705081201,159.66661,3
1586705082168,160.25871,3
1586705083133,160.25871,3
1586705084112,160.24522,3
1586705085082,160.46611,2
1586705086044,160.6766,1
1586705087014,160.56406,1
1586705087982,160.50374,1
1586705088952,160.50374,1
1586705089929,160.42891,1
1586705090890,160.33092,1
1586705091869,160.36761,1
1586705092836,160.43288,1
1586705093804,160.5071,1
1586705094777,160.5071,1
1586705095747,161.88647,1
1586705096712,161.92485,1
1586705097681,161.97324,1
1586705098649,162.03,1
1586705099621,160.79358,1
1586705100590,160.79358,1
1586705101560,160.89632,2
1586705102530,160.89717,1
1586705103495,161.15436,1
1586705104466,161.18193,1
1586705105434,161.26724,1
1586705106404,161.26724,1
1586705107373,161.2902,1
1586705108339,161.28654,1
1586705109314,161.356,1
1586705110282,162.76688,1
1586705111254,161.61708,1
1586705112212,161.61708,1
1586705113192,161.9788,1
1586705114161,162.10973,1
1586705115128,162.21136,1
1586705116101,162.30894,0
1586705117072,162.32234,1
1586705118041,162.32234,1
1586705119012,162.48335,1
1586705119977,162.52661,1
1586705120954,162.62628,1
1586705121924,162.82619,1
1586705122893,162.93045,3
1586705123866,162.93045,3
1586705124838,163.02252,3
1586705125807,163.56137,3
1586705126776,163.66684,3
1586705127741,164.03563,3
1586705128718,164.21863,3
1586705129683,164.21863,3
1586705130651,164.82718,3
1586705131628,165.00186,3
1586705132600,165.6641,3
1586705133570,165.97723,3
1586705134541,166.21523,3
1586705135510,166.21523,3
1586705136482,166.17389,3
1586705137442,166.1083,3
1586705138422,165.91328,3
1586705139393,165.84993,1
1586705140365,165.8089,1
1586705141330,165.8089,1
1586705142307,166.33275,1
1586705143274,166.4691,1
1586705144248,166.55144,1
1586705145217,166.62773,1
1586705146190,166.70465,1
1586705147157,166.70465,1
1586705148128,166.78265,2
1586705149102,166.7597,3
1586705150070,166.72905,3
1586705151042,166.06914,3
1586705152009,165.8393,3
1586705152984,165.8393,3
1586705153954,165.6775,3
1586705154927,165.08339,3
1586705155893,164.83008,3
1586705156861,164.79066,3
1586705157837,164.79749,3
1586705158809,164.79749,3
1586705159781,164.79988,3
1586705160752,164.84549,3
1586705161725,164.88017,3
1586705162694,164.88818,3
1586705163663,164.8788,3
1586705164635,164.8788,3
1586705165604,164.88806,3
1586705166578,164.8993,3
1586705167549,164.90932,3
1586705168512,165.38937,2
1586705169492,165.4617,2
1586705170463,165.4617,2
1586705171435,165.52077,1
1586705172404,165.54651,1
1586705173377,165.5402,2
1586705174346,165.53136,2
1586705175316,165.47665,2
1586705176289,165.47665,2
1586705177263,165.46559,1
1586705178235,165.46063,3
1586705179201,165.39075,3
1586705180177,165.25554,2
1586705181149,164.4225,2
1586705182116,164.4225,2
1586705183086,164.19304,2
1586705184060,164.1969,1
1586705185033,164.38228,1
1586705186004,164.59598,1
1586705186973,164.74023,1
1586705187945,164.74023,1
1586705188914,164.8268,1
1586705189890,164.89775,1
1586705190856,166.26366,1
1586705191830,165.63152,1
1586705192797,164.86362,1
1586705193769,164.86362,1
1586705194740,164.93687,1
1586705195712,164.94997,1
1586705196688,164.95496,2
1586705197646,164.55966,2
1586705198619,164.4049,2
1586705199587,164.4049,2
1586705200557,163.65034,2
1586705201537,163.50963,2
1586705202507,163.48415,3
1586705203471,163.51501,3
1586705204448,163.59393,3
1586705205421,163.59393,3
1586705206392,163.62682,3
1586705207364,164.19121,3
1586705208335,164.31448,3
1586705209307,164.34288,3
1586705210275,164.69054,3
1586705211250,164.69054,3
1586705212222,164.86923,3
1586705213188,165.00246,3
1586705214161,165.56697,3
1586705215139,165.61914,3
1586705216110,165.60571,3
1586705217079,165.60571,3
1586705218055,165.58748,3
1586705219024,165.56158,3
1586705219993,165.53828,3
1586705220971,165.50737,3
1586705221939,165.46864,3
1586705222917,165.46864,3
1586705223888,165.45076,1
1586705224854,165.40479,3
1586705225828,165.3563,3
1586705226803,165.3456,2
1586705227773,165.3403,2
1586705228739,165.3403,2
1586705229715,165.35345,3
1586705230687,165.35165,2
1586705231661,165.34941,3
1586705232629,165.34662,2
1586705233610,165.38602,2
1586705234580,165.38602,2
1586705235548,166.08527,2
1586705236527,166.82524,3
1586705237499,166.93652,3
1586705238468,166.93271,3
1586705239437,167.08444,3
1586705240409,167.08444,3
1586705241380,167.6805,2
1586705242362,167.93277,2
1586705243326,168.07155,2
1586705244309,168.10013,3
1586705245279,168.11482,3
1586705246253,168.11482,3
1586705247229,168.29004,3
1586705248200,168.4339,3
1586705249170,168.56323,3
1586705250142,169.16737,2
1586705251117,169.18694,3
1586705252080,169.18694,3
1586705253056,169.14183,1
1586705254028,169.09479,1
1586705255005,169.0546,3
1586705255980,169.02039,3
1586705256949,169.00818,3
