Taps,Steps,X Filtered,Y Filtered,Z Filtered,Average Absolute Error
1,0.01,Y,Y,Y,46.709
1,0.01,Y,Y,N,46.724
1,0.01,Y,N,Y,46.367
1,0.01,Y,N,N,46.289
1,0.01,N,Y,Y,46.957
1,0.01,N,Y,N,46.733
1,0.01,N,N,Y,46.74
1,0.01,N,N,N,46.694
1,0.1,Y,Y,Y,46.326
1,0.1,Y,Y,N,46.635
1,0.1,Y,N,Y,44.764
1,0.1,Y,N,N,44.663
1,0.1,N,Y,Y,48.89
1,0.1,N,Y,N,49.042
1,0.1,N,N,Y,47.085
1,0.1,N,N,N,46.694
1,0.5,Y,Y,Y,44.399
1,0.5,Y,Y,N,45.433
1,0.5,Y,N,Y,42.905
1,0.5,Y,N,N,42.042
1,0.5,N,Y,Y,49.499
1,0.5,N,Y,N,50.976
1,0.5,N,N,Y,47.216
1,0.5,N,N,N,46.694
1,1,Y,Y,Y,42.097
1,1,Y,Y,N,43.579
1,1,Y,N,Y,40.393
1,1,Y,N,N,40.164
1,1,N,Y,Y,49.21
1,1,N,Y,N,50.293
1,1,N,N,Y,46.755
1,1,N,N,N,46.694
1,2,Y,Y,Y,37.854
1,2,Y,Y,N,39.547
1,2,Y,N,Y,36.691
1,2,Y,N,N,36.963
1,2,N,Y,Y,44.887
1,2,N,Y,N,49.328
1,2,N,N,Y,46.091
1,2,N,N,N,46.694
2,0.01,Y,Y,Y,47.42
2,0.01,Y,Y,N,46.929
2,0.01,Y,N,Y,46.243
2,0.01,Y,N,N,45.721
2,0.01,N,Y,Y,47.396
2,0.01,N,Y,N,47.181
2,0.01,N,N,Y,46.819
2,0.01,N,N,N,46.694
2,0.1,Y,Y,Y,47.404
2,0.1,Y,Y,N,46.929
2,0.1,Y,N,Y,44.25
2,0.1,Y,N,N,43.277
2,0.1,N,Y,Y,51.327
2,0.1,N,Y,N,50.358
2,0.1,N,N,Y,47.56
2,0.1,N,N,N,46.694
2,0.5,Y,Y,Y,45.157
2,0.5,Y,Y,N,44.572
2,0.5,Y,N,Y,41.127
2,0.5,Y,N,N,39.745
2,0.5,N,Y,Y,53.439
2,0.5,N,Y,N,53.353
2,0.5,N,N,Y,47.65
