Taps,Steps,X Filtered,Y Filtered,Z Filtered,Average Absolute Error
1,0.01,Y,Y,Y,43.796
1,0.01,Y,Y,N,45.595
1,0.01,Y,N,Y,43.217
1,0.01,Y,N,N,44.398
1,0.01,N,Y,Y,46.517
1,0.01,N,Y,N,48.126
1,0.01,N,N,Y,45.552
1,0.01,N,N,N,46.694
1,0.1,Y,Y,Y,31.415
1,0.1,Y,Y,N,35.598
1,0.1,Y,N,Y,34.522
1,0.1,Y,N,N,38.49
1,0.1,N,Y,Y,38.236
1,0.1,N,Y,N,44.044
1,0.1,N,N,Y,42.249
1,0.1,N,N,N,46.694
1,0.5,Y,Y,Y,43.272
1,0.5,Y,Y,N,23.984
1,0.5,Y,N,Y,22.39
1,0.5,Y,N,N,19.025
1,0.5,N,Y,Y,36.184
1,0.5,N,Y,N,20.971
1,0.5,N,N,Y,21.201
1,0.5,N,N,N,46.694
1,1,Y,Y,Y,135.283
1,1,Y,Y,N,83.515
1,1,Y,N,Y,88.127
1,1,Y,N,N,32.29
1,1,N,Y,Y,116.048
1,1,N,Y,N,61.628
1,1,N,N,Y,40.181
1,1,N,N,N,46.694
1,2,Y,Y,Y,261.238
1,2,Y,Y,N,263.544
1,2,Y,N,Y,268.078
1,2,Y,N,N,318.941
1,2,N,Y,Y,266.802
1,2,N,Y,N,280.696
1,2,N,N,Y,221.046
1,2,N,N,N,46.694
2,0.01,Y,Y,Y,45.945
2,0.01,Y,Y,N,45.912
2,0.01,Y,N,Y,44.078
2,0.01,Y,N,N,44.22
2,0.01,N,Y,Y,48.246
2,0.01,N,Y,N,49.198
2,0.01,N,N,Y,45.851
2,0.01,N,N,N,46.694
2,0.1,Y,Y,Y,32.052
2,0.1,Y,Y,N,35.782
2,0.1,Y,N,Y,32.8
2,0.1,Y,N,N,35.22
2,0.1,N,Y,Y,43.107
2,0.1,N,Y,N,50.482
2,0.1,N,N,Y,42.898
2,0.1,N,N,N,46.694
2,0.5,Y,Y,Y,26.036
2,0.5,Y,Y,N,23.139
2,0.5,Y,N,Y,20.812
2,0.5,Y,N,N,19.989
2,0.5,N,Y,Y,28.49
2,0.5,N,Y,N,39.689
2,0.5,N,N,Y,30.761
2,0.5,N,N,N,46.694
2,1,Y,Y,Y,114.015
2,1,Y,Y,N,90.527
2,1,Y,N,Y,75.812
2,1,Y,N,N,25.87
2,1,N,Y,Y,34.967
2,1,N,Y,N,23.924
2,1,N,N,Y,21.722
2,1,N,N,N,46.694
2,2,Y,Y,Y,366.955
2,2,Y,Y,N,361.738
2,2,Y,N,Y,358.817
2,2,Y,N,N,323.108
2,2,N,Y,Y,362.835
2,2,N,Y,N,343.253
2,2,N,N,Y,238.829
2,2,N,N,N,46.694
3,0.01,Y,Y,Y,48.935
3,0.01,Y,Y,N,49.666
3,0.01,Y,N,Y,46.331
3,0.01,Y,N,N,44.016
3,0.01,N,Y,Y,51.283
3,0.01,N,Y,N,49.668
3,0.01,N,N,Y,47.212
3,0.01,N,N,N,46.694
3,0.1,Y,Y,Y,38.433
3,0.1,Y,Y,N,40.194
3,0.1,Y,N,Y,36.167
3,0.1,Y,N,N,36.104
3,0.1,N,Y,Y,46.209
3,0.1,N,Y,N,52.117
3,0.1,N,N,Y,43.846
3,0.1,N,N,N,46.694
3,0.5,Y,Y,Y,27.028
3,0.5,Y,Y,N,29.49
3,0.5,Y,N,Y,21.259
3,0.5,Y,N,N,24.425
3,0.5,N,Y,Y,39.382
3,0.5,N,Y,N,49.71
3,0.5,N,N,Y,35.591
3,0.5,N,N,N,46.694
3,1,Y,Y,Y,89.383
3,1,Y,Y,N,83.651
3,1,Y,N,Y,63.111
3,1,Y,N,N,25.241
3,1,N,Y,Y,42.169
3,1,N,Y,N,43.487
3,1,N,N,Y,28.114
